ID,Measure,Subject,Category,SubCategory,HebSubject,HebCategory,HebSubCategory,Year
ST49Q04,Maths Behaviour - Participate in Competitions,Learning Mathematics,Maths Behaviour,Participate in Competitions,לימודי מתמטיקה,התנהגות,משתתף בתחרויות,2012
ST49Q05,Maths Behaviour - Study More Than 2 Extra Hours a Day,Learning Mathematics,Maths Behaviour,Study More Than 2 Extra Hours a Day,לימודי מתמטיקה,התנהגות,לומד בבית יותר משעתיים ביום,2012
ST49Q06,Maths Behaviour - Play Chess,Learning Mathematics,Maths Behaviour,Play Chess,לימודי מתמטיקה,התנהגות,משחק שחמט,2012
ST49Q07,Maths Behaviour - Computer programming,Learning Mathematics,Maths Behaviour,Computer programming,לימודי מתמטיקה,התנהגות,מתכנת,2012
ST49Q09,Maths Behaviour - Participate in Maths Club,Learning Mathematics,Maths Behaviour,Participate in Maths Club,לימודי מתמטיקה,התנהגות,משתתף במועדון מתמטיקה,2012
ST53Q01,Learning Strategies - Important Parts vs. Existing Knowledge vs. Learn by Heart,Learning Mathematics,Learning Strategies,Important Parts vs. Existing Knowledge vs. Learn by Heart,לימודי מתמטיקה,אסטרטגיות למידה,,2012
ST53Q02,Learning Strategies - Improve Understanding vs. New Ways vs. Memory,Learning Mathematics,Learning Strategies,Improve Understanding vs. New Ways vs. Memory,לימודי מתמטיקה,אסטרטגיות למידה,,2012
ST53Q03,Learning Strategies - Other Subjects vs. Learning Goals vs. Rehearse Problems,Learning Mathematics,Learning Strategies,Other Subjects vs. Learning Goals vs. Rehearse Problems,לימודי מתמטיקה,אסטרטגיות למידה,,2012
ST53Q04,Learning Strategies - Repeat Examples vs. Everyday Applications vs. More Information,Learning Mathematics,Learning Strategies,Repeat Examples vs. Everyday Applications vs. More Information,לימודי מתמטיקה,אסטרטגיות למידה,,2012
ST55Q01,Out of school lessons - <test lang>,Learning Mathematics,Out of school lessons,<test lang>,לימודי מתמטיקה,שיעורים פרטיים,קריאה,2012
ST55Q02,Out of school lessons - <maths>,Learning Mathematics,Out of school lessons,<maths>,לימודי מתמטיקה,שיעורים פרטיים,מתמטיקה,2012
ST55Q03,Out of school lessons - <science>,Learning Mathematics,Out of school lessons,<science>,לימודי מתמטיקה,שיעורים פרטיים,מדעים,2012
ST55Q04,Out of school lessons - other,Learning Mathematics,Out of school lessons,other,לימודי מתמטיקה,שיעורים פרטיים,אחר,2012
ST57Q01,Out-of-School Study Time - Homework,Learning Mathematics,Out-of-School Study Time,Homework,לימודי מתמטיקה,זמן לימודים,שיעורי בית,2012
ST57Q02,Out-of-School Study Time - Guided Homework,Learning Mathematics,Out-of-School Study Time,Guided Homework,לימודי מתמטיקה,זמן לימודים,שיעורי בית מונחים,2012
ST57Q03,Out-of-School Study Time - Personal Tutor,Learning Mathematics,Out-of-School Study Time,Personal Tutor,לימודי מתמטיקה,זמן לימודים,הדרכה אישית,2012
ST57Q04,Out-of-School Study Time - Commercial Company,Learning Mathematics,Out-of-School Study Time,Commercial Company,לימודי מתמטיקה,זמן לימודים,חברה מסחרית,2012
ST57Q05,Out-of-School Study Time - With Parent,Learning Mathematics,Out-of-School Study Time,With Parent,לימודי מתמטיקה,זמן לימודים,עם ההורים,2012
ST57Q06,Out-of-School Study Time - Computer,Learning Mathematics,Out-of-School Study Time,Computer,לימודי מתמטיקה,זמן לימודים,מחשב,2012
ST61Q01,Experience with Applied Maths Tasks - Use <Train Timetable>,Learning Mathematics,Experience with Applied Maths Tasks,Use <Train Timetable>,לימודי מתמטיקה,התנסות במשימות,שימוש בלוח זמני רכבת,2012
ST61Q02,Experience with Applied Maths Tasks - Calculate Price including Tax,Learning Mathematics,Experience with Applied Maths Tasks,Calculate Price including Tax,לימודי מתמטיקה,התנסות במשימות,חישוב מחיר +מעמ,2012
ST61Q03,Experience with Applied Maths Tasks - Calculate Square Metres,Learning Mathematics,Experience with Applied Maths Tasks,Calculate Square Metres,לימודי מתמטיקה,התנסות במשימות,חישוב מטר מרובע,2012
ST61Q04,Experience with Applied Maths Tasks - Understand Scientific Tables,Learning Mathematics,Experience with Applied Maths Tasks,Understand Scientific Tables,לימודי מתמטיקה,התנסות במשימות,הבנת טבלה חשבונית,2012
ST61Q05,Experience with Pure Maths Tasks - Solve Equation 1,Learning Mathematics,Experience with Pure Maths Tasks,Solve Equation 1,לימודי מתמטיקה,התנסות במשימות,פתירת משוואה 1,2012
ST61Q06,Experience with Applied Maths Tasks - Use a Map to Calculate Distance,Learning Mathematics,Experience with Applied Maths Tasks,Use a Map to Calculate Distance,לימודי מתמטיקה,התנסות במשימות,שימוש במפה לחישוב מרחק,2012
ST61Q07,Experience with Pure Maths Tasks - Solve Equation 2,Learning Mathematics,Experience with Pure Maths Tasks,Solve Equation 2,לימודי מתמטיקה,התנסות במשימות,פתירת משוואה 2,2012
ST61Q08,Experience with Applied Maths Tasks - Calculate Power Consumption Rate,Learning Mathematics,Experience with Applied Maths Tasks,Calculate Power Consumption Rate,לימודי מתמטיקה,התנסות במשימות,חישוב קצב צריכת כוח,2012
ST61Q09,Experience with Applied Maths Tasks - Solve Equation 3,Learning Mathematics,Experience with Applied Maths Tasks,Solve Equation 3,לימודי מתמטיקה,התנסות במשימות,פתרון משוואה 3,2012
ST62Q01,Familiarity with Maths Concepts - Exponential Function,Learning Mathematics,Familiarity with Maths Concepts,Exponential Function,לימודי מתמטיקה,היכרות מושגים,משוואה מעריכית,2012
ST62Q02,Familiarity with Maths Concepts - Divisor,Learning Mathematics,Familiarity with Maths Concepts,Divisor,לימודי מתמטיקה,היכרות מושגים,מחלק,2012
ST62Q03,Familiarity with Maths Concepts - Quadratic Function,Learning Mathematics,Familiarity with Maths Concepts,Quadratic Function,לימודי מתמטיקה,היכרות מושגים,משוואה ריבועית,2012
ST62Q04,Overclaiming - Proper Number,Learning Mathematics,Overclaiming,Proper Number,לימודי מתמטיקה,היכרות מושגים,מושג שאינו קיים - מספר תקין,2012
ST62Q06,Familiarity with Maths Concepts - Linear Equation,Learning Mathematics,Familiarity with Maths Concepts,Linear Equation,לימודי מתמטיקה,היכרות מושגים,משוואות לינאריות,2012
ST62Q07,Familiarity with Maths Concepts - Vectors,Learning Mathematics,Familiarity with Maths Concepts,Vectors,לימודי מתמטיקה,היכרות מושגים,וקטורים,2012
ST62Q08,Familiarity with Maths Concepts - Complex Number,Learning Mathematics,Familiarity with Maths Concepts,Complex Number,לימודי מתמטיקה,היכרות מושגים,מספרים מרוכבים,2012
ST62Q09,Familiarity with Maths Concepts - Rational Number,Learning Mathematics,Familiarity with Maths Concepts,Rational Number,לימודי מתמטיקה,היכרות מושגים,מספרים רציונלים,2012
ST62Q10,Familiarity with Maths Concepts - Radicals,Learning Mathematics,Familiarity with Maths Concepts,Radicals,לימודי מתמטיקה,היכרות מושגים,שורשים,2012
ST62Q11,Overclaiming - Subjunctive Scaling,Learning Mathematics,Overclaiming,Subjunctive Scaling,לימודי מתמטיקה,היכרות מושגים,Subjunctive Scaling – מושג שאינו קיים,2012
ST62Q12,Familiarity with Maths Concepts - Polygon,Learning Mathematics,Familiarity with Maths Concepts,Polygon,לימודי מתמטיקה,היכרות מושגים,פוליגון,2012
ST62Q13,Overclaiming - Declarative Fraction,Learning Mathematics,Overclaiming,Declarative Fraction,לימודי מתמטיקה,היכרות מושגים,מושג שאינו קיים – שבר דקלרטיבי,2012
ST62Q15,Familiarity with Maths Concepts - Congruent Figure,Learning Mathematics,Familiarity with Maths Concepts,Congruent Figure,לימודי מתמטיקה,היכרות מושגים,צורות חופפות,2012
ST62Q16,Familiarity with Maths Concepts - Cosine,Learning Mathematics,Familiarity with Maths Concepts,Cosine,לימודי מתמטיקה,היכרות מושגים,קוסינוס,2012
ST62Q17,Familiarity with Maths Concepts - Arithmetic Mean,Learning Mathematics,Familiarity with Maths Concepts,Arithmetic Mean,לימודי מתמטיקה,היכרות מושגים,ממוצע אריתמטי,2012
ST62Q19,Familiarity with Maths Concepts - Probability,Learning Mathematics,Familiarity with Maths Concepts,Probability,לימודי מתמטיקה,היכרות מושגים,הסתברות,2012
ST69Q01,Min in <class period> - <test lang>,School,Min in,Test lang,בית הספר,זמן שיעור,קריאה,2012
ST69Q02,Min in <class period> - <Maths>,School,Min in,Maths,בית הספר,זמן שיעור,מתמטיקה,2012
ST69Q03,Min in <class period> - <Science>,School,Min in,Science,בית הספר,זמן שיעור,מדעים,2012
ST70Q01,No of <class period> p/wk - <test lang>,School,No of  p/wk,Test lang,בית הספר,שעות שבועיות,קריאה,2012
ST70Q02,No of <class period> p/wk - <Maths>,School,No of  p/wk,Maths,בית הספר,שעות שבועיות,מתמטיקה,2012
ST70Q03,No of <class period> p/wk - <Science>,School,No of  p/wk,Science,בית הספר,שעות שבועיות,מדעים,2012
ST71Q01,No of ALL <class period> a week,School,No of  p/wk,All,בית הספר,שעות שבועיות,כללי,2012
ST72Q01,Class Size - No of Students in <Test Language> Class,School,Class Size,No of Students,בית הספר,גודל כיתה,מספר תלמידים,2012
ST73Q01,OTL - Algebraic Word Problem in Maths Lesson,Learning Mathematics,Opportunity to learn,Algebraic Word Problem in Maths Lesson,לימודי מתמטיקה,פתרון בעיות,,2012
ST73Q02,OTL - Algebraic Word Problem in Tests,Learning Mathematics,Opportunity to learn,Algebraic Word Problem in Tests,לימודי מתמטיקה,פתרון בעיות,,2012
