ST01Q01,International Grade,Me,International Grade,,,,,,,,2012,,,,,,,,,,,
ST42Q02,Maths Self-Concept - Not Good at Maths,Learning Mathematics,Maths Self-Concept,Not Good at Maths,,לימודי מתמטיקה,הערכת עצמית,לא טוב במתמטיקה,,,2012,,,,,,,,,,,
ST42Q03,Maths Anxiety - Get Very Tense,Learning Mathematics,Maths Anxiety,Get Very Tense,,לימודי מתמטיקה,חרדות,נהיה לחוץ,,,2012,,,,,,,,,,,
ST42Q04,Maths Self-Concept - Get Good <Grades>,Learning Mathematics,Maths Self-Concept,Get Good Grades,,לימודי מתמטיקה,הערכת עצמית,מקבל ציונים טובים,,,2012,,,,,,,,,,,
ST42Q05,Maths Anxiety - Get Very Nervous,Learning Mathematics,Maths Anxiety,Get Very Nervous,,לימודי מתמטיקה,חרדות,נהיה עצבני,,,2012,,,,,,,,,,,
ST42Q06,Maths Self-Concept - Learn Quickly,Learning Mathematics,Maths Self-Concept,Learn Quickly,,לימודי מתמטיקה,הערכת עצמית,לומד מהר,,,2012,,,,,,,,,,,
ST42Q07,Maths Self-Concept - One of Best Subjects,Learning Mathematics,Maths Self-Concept,One of Best Subjects,,לימודי מתמטיקה,הערכת עצמית,אחד מהמקצועות הטובים,,,2012,,,,,,,,,,,
ST42Q08,Maths Anxiety - Feel Helpless,Learning Mathematics,Maths Anxiety,Feel Helpless,,לימודי מתמטיקה,חרדות,מרגיש חסר אונים,,,2012,,,,,,,,,,,
ST42Q09,Maths Self-Concept - Understand Difficult Work,Learning Mathematics,Maths Self-Concept,Understand Difficult Work,,לימודי מתמטיקה,הערכת עצמית,מבין עבודה קשה,,,2012,,,,,,,,,,,
ST42Q10,Maths Anxiety - Worry About Getting Poor <Grades>,Learning Mathematics,Maths Anxiety,Worry About Getting Poor Grades,,לימודי מתמטיקה,חרדות,דואג מקבלת ציונים נמוכים,,,2012,,,,,,,,,,,
ST43Q01,Perceived Control - Can Succeed with Enough Effort,Learning Mathematics,Perceived Control,Can Succeed with Enough Effort,,,,יכול להצליח עם מספיק מאמץ,,,2012,,,,,,,,,,,
ST43Q02,Perceived Control - Doing Well is Completely Up to Me,Learning Mathematics,Perceived Control,Doing Well is Completely Up to Me,,,,להיות בסדר תלוי לגמרי בי,,,2012,,,,,,,,,,,
ST43Q03,Perceived Control - Family Demands and Problems,Learning Mathematics,Perceived Control,Family Demands and Problems,,,,צרכים משפחתיים ובעיות,,,2012,,,,,,,,,,,
ST43Q04,Perceived Control - Different Teachers,Learning Mathematics,Perceived Control,Different Teachers,,,,מורים שונים,,,2012,,,,,,,,,,,
ST43Q05,Perceived Control - If I Wanted I Could Perform Well,Learning Mathematics,Perceived Control,If I Wanted I Could Perform Well,,,,אם הייתי רוצה הייתי יכול להיות בסדר,,,2012,,,,,,,,,,,
ST43Q06,Perceived Control - Perform Poorly Regardless,Learning Mathematics,Perceived Control,Perform Poorly Regardless,,,,,,,2012,,,,,,,,,,,
ST44Q01,Attributions to Failure - Not Good at Maths Problems,Learning Mathematics,Attributions to Failure,Not Good at Maths Problems,,לימודי מתמטיקה,הסברים לכשלון,לא טוב בבעיות מתמטיות,,,2012,,,,,,,,,,,
ST44Q03,Attributions to Failure - Teacher Did Not Explain Well,Learning Mathematics,Attributions to Failure,Teacher Did Not Explain Well,,לימודי מתמטיקה,הסברים לכשלון,המורה לא הסבירה טוב,,,2012,,,,,,,,,,,
ST44Q04,Attributions to Failure - Bad Guesses,Learning Mathematics,Attributions to Failure,Bad Guesses,,לימודי מתמטיקה,הסברים לכשלון,ניחושים גרועים,,,2012,,,,,,,,,,,
ST44Q05,Attributions to Failure - Material Too Hard,Learning Mathematics,Attributions to Failure,Material Too Hard,,לימודי מתמטיקה,הסברים לכשלון,החומר קשה מדי,,,2012,,,,,,,,,,,
ST44Q07,Attributions to Failure - Teacher Didnt Get Students Interested,Learning Mathematics,Attributions to Failure,Teacher Didnt Get Students Interested,,לימודי מתמטיקה,הסברים לכשלון,המורה לא גורמת לתלמידים להתעניין,,,2012,,,,,,,,,,,
ST44Q08,Attributions to Failure - Unlucky,Learning Mathematics,Attributions to Failure,Unlucky,,לימודי מתמטיקה,הסברים לכשלון,חוסר מזל,,,2012,,,,,,,,,,,
ST46Q01,Maths Work Ethic - Homework Completed in Time,Learning Mathematics,Maths Work Ethic,Homework Completed in Time,,לימודי מתמטיקה,הכנת שיעורי בית,סיום שיעורי בית בזמן,,,2012,,,,,,,,,,,
ST46Q02,Maths Work Ethic - Work Hard on Homework,Learning Mathematics,Maths Work Ethic,Work Hard on Homework,,לימודי מתמטיקה,הכנת שיעורי בית,השקעה בשיעורי הבית,,,2012,,,,,,,,,,,
ST46Q03,Maths Work Ethic - Prepared for Exams,Learning Mathematics,Maths Work Ethic,Prepared for Exams,,לימודי מתמטיקה,הכנת שיעורי בית,התכוננות למבחנים,,,2012,,,,,,,,,,,
ST46Q04,Maths Work Ethic - Study Hard for Quizzes,Learning Mathematics,Maths Work Ethic,Study Hard for Quizzes,,לימודי מתמטיקה,הכנת שיעורי בית,התכוננות לבחנים,,,2012,,,,,,,,,,,
ST46Q05,Maths Work Ethic - Study Until I Understand Everything,Learning Mathematics,Maths Work Ethic,Study Until I Understand Everything,,לימודי מתמטיקה,הכנת שיעורי בית,לימוד עד שהכל מובן,,,2012,,,,,,,,,,,
ST46Q06,Maths Work Ethic - Pay Attention in Classes,Learning Mathematics,Maths Work Ethic,Pay Attention in Classes,,לימודי מתמטיקה,הכנת שיעורי בית,תשומת לב בשיעורים,,,2012,,,,,,,,,,,
ST46Q07,Maths Work Ethic - Listen in Classes,Learning Mathematics,Maths Work Ethic,Listen in Classes,,לימודי מתמטיקה,הכנת שיעורי בית,הקשבה בשיעורים,,,2012,,,,,,,,,,,
ST46Q08,Maths Work Ethic - Avoid Distractions When Studying,Learning Mathematics,Maths Work Ethic,Avoid Distractions When Studying,,לימודי מתמטיקה,הכנת שיעורי בית,מניעת הסחות בזמן לימוד,,,2012,,,,,,,,,,,
ST46Q09,Maths Work Ethic - Keep Work Organized,Learning Mathematics,Maths Work Ethic,Keep Work Organized,,לימודי מתמטיקה,הכנת שיעורי בית,עבודה מאורגנת,,,2012,,,,,,,,,,,
ST48Q01,Maths Intentions - Mathematics vs. Language Courses After School,Learning Mathematics,Maths Intentions,Mathematics vs. Language Courses After School,,,,מתמטיקה לעומת קורסי שפה אחרי בית ספר,,,2012,,,,,,,,,,,
ST48Q02,Maths Intentions - Mathematics vs. Science Related Major in College,Learning Mathematics,Maths Intentions,Mathematics vs. Science Related Major in College,,,,,,,2012,,,,,,,,,,,
ST48Q03,Maths Intentions - Study Harder in Mathematics vs. Language Classes,Learning Mathematics,Maths Intentions,Study Harder in Mathematics vs. Language Classes,,,,,,,2012,,,,,,,,,,,
ST48Q04,Maths Intentions - Take Maximum Number of Mathematics vs. Science Classes,Learning Mathematics,Maths Intentions,Take Maximum Number of Mathematics vs. Science Classes,,,,,,,2012,,,,,,,,,,,
ST48Q05,Maths Intentions - Pursuing a Career That Involves Mathematics vs. Science,Learning Mathematics,Maths Intentions,Pursuing a Career That Involves Mathematics vs. Science,,,,,,,2012,,,,,,,,,,,
ST49Q01,Maths Behaviour - Talk about Maths with Friends,Learning Mathematics,Maths Behaviour,Talk about Maths with Friends,,לימודי מתמטיקה,התנהגות,מדבר על מתמטיקה עם חברים,,,2012,,,,,,,,,,,
ST49Q02,Maths Behaviour - Help Friends with Maths,Learning Mathematics,Maths Behaviour,Help Friends with Maths,,לימודי מתמטיקה,התנהגות,עוזר לחברים במתמטיקה,,,2012,,,,,,,,,,,
ST49Q03,Maths Behaviour - <Extracurricular> Activity,Learning Mathematics,Maths Behaviour,<Extracurricular> Activity,,לימודי מתמטיקה,התנהגות,פעילות מחוץ ללימוד,,,2012,,,,,,,,,,,
ST49Q04,Maths Behaviour - Participate in Competitions,Learning Mathematics,Maths Behaviour,Participate in Competitions,,לימודי מתמטיקה,התנהגות,משתתף בתחרויות,,,2012,,,,,,,,,,,
ST49Q05,Maths Behaviour - Study More Than 2 Extra Hours a Day,Learning Mathematics,Maths Behaviour,Study More Than 2 Extra Hours a Day,,לימודי מתמטיקה,התנהגות,לומד בבית יותר משעתיים ביום,,,2012,,,,,,,,,,,
ST49Q06,Maths Behaviour - Play Chess,Learning Mathematics,Maths Behaviour,Play Chess,,לימודי מתמטיקה,התנהגות,משחק שחמט,,,2012,,,,,,,,,,,
ST49Q07,Maths Behaviour - Computer programming,Learning Mathematics,Maths Behaviour,Computer programming,,לימודי מתמטיקה,התנהגות,מתכנת,,,2012,,,,,,,,,,,
ST49Q09,Maths Behaviour - Participate in Maths Club,Learning Mathematics,Maths Behaviour,Participate in Maths Club,,לימודי מתמטיקה,התנהגות,משתתף במועדון מתמטיקה,,,2012,,,,,,,,,,,
ST53Q01,Learning Strategies - Important Parts vs. Existing Knowledge vs. Learn by Heart,Learning Mathematics,Learning Strategies,Important Parts vs. Existing Knowledge vs. Learn by Heart,,לימודי מתמטיקה,אסטרטגיות למידה,,,,2012,,,,,,,,,,,
ST53Q02,Learning Strategies - Improve Understanding vs. New Ways vs. Memory,Learning Mathematics,Learning Strategies,Improve Understanding vs. New Ways vs. Memory,,לימודי מתמטיקה,אסטרטגיות למידה,,,,2012,,,,,,,,,,,
ST53Q03,Learning Strategies - Other Subjects vs. Learning Goals vs. Rehearse Problems,Learning Mathematics,Learning Strategies,Other Subjects vs. Learning Goals vs. Rehearse Problems,,לימודי מתמטיקה,אסטרטגיות למידה,,,,2012,,,,,,,,,,,
ST53Q04,Learning Strategies - Repeat Examples vs. Everyday Applications vs. More Information,Learning Mathematics,Learning Strategies,Repeat Examples vs. Everyday Applications vs. More Information,,לימודי מתמטיקה,אסטרטגיות למידה,,,,2012,,,,,,,,,,,
ST55Q01,Out of school lessons - <test lang>,Learning Mathematics,Out of school lessons,<test lang>,,לימודי מתמטיקה,שיעורים פרטיים,קריאה,,,2012,,,,,,,,,,,
ST55Q02,Out of school lessons - <maths>,Learning Mathematics,Out of school lessons,<maths>,,לימודי מתמטיקה,שיעורים פרטיים,מתמטיקה,,,2012,,,,,,,,,,,
ST55Q03,Out of school lessons - <science>,Learning Mathematics,Out of school lessons,<science>,,לימודי מתמטיקה,שיעורים פרטיים,מדעים,,,2012,,,,,,,,,,,
ST55Q04,Out of school lessons - other,Learning Mathematics,Out of school lessons,other,,לימודי מתמטיקה,שיעורים פרטיים,אחר,,,2012,,,,,,,,,,,
ST57Q01,Out-of-School Study Time - Homework,Learning Mathematics,Out-of-School Study Time,Homework,,לימודי מתמטיקה,זמן לימודים,שיעורי בית,,,2012,,,,,,,,,,,
ST57Q02,Out-of-School Study Time - Guided Homework,Learning Mathematics,Out-of-School Study Time,Guided Homework,,לימודי מתמטיקה,זמן לימודים,שיעורי בית מונחים,,,2012,,,,,,,,,,,
ST57Q03,Out-of-School Study Time - Personal Tutor,Learning Mathematics,Out-of-School Study Time,Personal Tutor,,לימודי מתמטיקה,זמן לימודים,הדרכה אישית,,,2012,,,,,,,,,,,
ST57Q04,Out-of-School Study Time - Commercial Company,Learning Mathematics,Out-of-School Study Time,Commercial Company,,לימודי מתמטיקה,זמן לימודים,חברה מסחרית,,,2012,,,,,,,,,,,
ST57Q05,Out-of-School Study Time - With Parent,Learning Mathematics,Out-of-School Study Time,With Parent,,לימודי מתמטיקה,זמן לימודים,עם ההורים,,,2012,,,,,,,,,,,
ST57Q06,Out-of-School Study Time - Computer,Learning Mathematics,Out-of-School Study Time,Computer,,לימודי מתמטיקה,זמן לימודים,מחשב,,,2012,,,,,,,,,,,
ST61Q01,Experience with Applied Maths Tasks - Use <Train Timetable>,Learning Mathematics,Experience with Applied Maths Tasks,Use <Train Timetable>,,לימודי מתמטיקה,התנסות במשימות,שימוש בלוח זמני רכבת,,,2012,,,,,,,,,,,
ST61Q02,Experience with Applied Maths Tasks - Calculate Price including Tax,Learning Mathematics,Experience with Applied Maths Tasks,Calculate Price including Tax,,לימודי מתמטיקה,התנסות במשימות,חישוב מחיר +מעמ,,,2012,,,,,,,,,,,
