Subject,Level,Score,Explenation,,,,,,,,,
ProblemSolving,6,683,"תלמידים ברמת בקיאות 6 יכולים לפתח מודלים קוגניטיביים שלמים ועקביים של תרחישי בעיה מגוונים, מה שמאפשר להם לפתור בעיות מורכבות ביעילות. הם יכולים לחקור את תרחיש הבעיה בצורה אסטרטגית להבין את כל המידע הנוגע לה. המידע עשוי להיות מוצג בפורמטים שונים הדורש פרשנות ואינטגרציה. תלמידים ברמה זו אשר נתקלים בבעיה הדורשת, למשל, התמודדות עם מכשיר ביתי מורכב, כגון מכשיר חשמל לבית העובד בצורה יוצאת דופן או בלתי צפויה, לומדים במהירות כיצד לשלוט עליו על מנת להשיג את המטרה בדרך היעילה ביותר. תלמידים ברמה זו יכולים להגדיר השערות כלליות על מערכת ולבדוק אותן ביסודיות. הם יכולים לעקוב אחר נכונותה של השערה מסוימת עד הגעתם למסקנה הגיונית ויכולים לזהות מתי אין מספיק מידע זמין הנדרש על מנת להגיע למסקנה כזו. על מנת להגיע לפתרון, תלמידים אלו יכולים ליצור תכניות מורכבות, גמישות ומרובות שלבים ואחריהן הן עוקבים באופן רציף במהלך ההגעה לפתרון. במקרה הצורך, הם משנים את אסטרטגיות הפתרון שלהם, תוך כדי שהם לוקחים בחשבון את כל האילוצים הכרוכים בכך."
ProblemSolving,5,618,"תלמידים ברמת בקיאות 5 יכולים לחקור באופן שיטתי תרחיש בעיה מורכב על מנת להבין כיצד מובנה בה המידע הרלוונטי. כאשר הם ניצבים בפני בעיה הדורשת התמודדות עם תפעול מכשיר לא מוכר ובעל רמת מורכבות מתונה, הם מגיבים במהירות למשוב על מנת לשלוט עליו. על מנת להגיע לפתרון, תלמידים ברמה זו חושבים קדימה על מנת למצוא את האסטרטגיה הטובה ביותר שנותנת מענה לכל האילוצים הנתונים. הם יכולים לשנות באופן מידי את התכניות שלהם או לסגת ממנה כאשר הם מזהים קשיים בלתי צפויים או כאשר הם עושים טעויות המרחיקות אותן מן המטרה.",,,,,,,
ProblemSolving,4,553,"תלמידים ברמת בקיאות 4 יכולים לחקור תרחיש בעיה מורכב באופן מתון וממוקד. הם תופסים את הקשרים בין רכיבי התרחיש הנדרשים על מנת לפתור את הבעיה. הם יכולים לשלוט במכשירים דיגיטליים מורכבים ולא מוכרים באופן מתון, אך לא תמיד הם עושים זאת ביעילות. תלמידים אלה יכולים לתכנן כמה צעדים קדימה ולעקוב אחר התקדמות התוכניות שלהם. בדרך כלל הם מסוגלים לשנות את התוכניות שלהם או לנסח מחדש את מטרתן לאור משוב. הם יכולים לבדוק שיטתית אפשרויות פתרון שונות והאם אלו קיימו את התנאים הדרושים לפתרון. הם יכולים לשער מדוע מערכת אינה מתפקדת כהלכה ולתאר כיצד לבדוק זאת.",,,,,,,,
ProblemSolving,3,488,"תלמידים ברמת בקיאות 3 יכולים להתמודד עם מידע שהוצג במספר פורמטים שונים. הם יכולים לחקור תרחיש בעיה ולהסיק על הקשרים הפשוטים בין מרכיביו. הם יכולים לשלוט במכשירים דיגיטליים פשוטים, אך יש להם בעיה כאשר הם מתמודדים עם מכשירים מורכבים יותר. תלמידים ברמה זו יכולים להתמודד באופן מלא עם תנאי אחד, למשל, על ידי יצירה כמה פתרונות ובדיקתם כדי לראות אם אלה מקיימים את התנאי. כאשר יש מספר תנאים המקושרים ביניהם, הם יכולים להחזיק משתנה אחד קבוע על מנת לבדוק את ההשפעה שלו על המשתנים האחרים. הם יכולים לתכנן ולבצע בדיקות על מנת לאשר או להפריך השערה נתונה. הם מבינים את הצורך לתכנן מראש ולעקוב אחר התקדמות, ומסוגלים לנסות אפשרות אחרת במידת צורך.",,,,
ProblemSolving,2,423,"תלמידים ברמת בקיאות 2 יכולים לחקור תרחיש בעיה לא מוכר ולהבין חלק קטן ממנו. הם מנסים להבין ולשלוט במכשירים דיגיטליים לא מוכרים, אך מצליחים רק באופן חלקי. תלמידים אלו יכולים לבדוק השערה פשוטה שניתנת להם ויכולים לפתור בעיה שיש לה רק מגבלה אחת ספציפית. הם יכולים לתכנן ולבצע צעד אחד בכל פעם כדי להשיג תת מטרה, ויש להם יכולת מסוימת לפקח על התקדמותם הכללית בדרך לפתרון.",,,,,,,
ProblemSolving,1,358,"תלמידים ברמת בקיאות 1 יכולים לחקור תרחיש בעיה באופן מוגבל, אך נוטים לעשות זאת רק כאשר הם נתקלו במצבים דומים מאוד בעבר. תלמידים אלה יכולים רק לתאר את התנהגותו של מכשיר פשוט ויומיומי באופן חלקי. באופן כללי, תלמידים ברמה זו יכולים לפתור בעיות פשוטות בתנאים בהם שמתקיים רק מצב פשוט ושיש רק צעד אחד או שניים שיש לבצע על מנת להגיע למטרה. תלמידים אלו נוטים שלא לתכנן מראש או להגדיר מטרות משנה.",,,,,,,
Financial,5,625,"לתלמידים ברמה 5 יש ידע והבנה של במגוון רחב של נושאים פיננסיים, והם מיישמים אותו בהקשרים שחלקם יעשו רלוונטיים עבורם רק בשלב מאוחר יותר בחייהם. תלמידים אלו יכולים לנתח מוצרים פיננסיים מורכבים תוך הבאה בחשבון פרטים חשובים מתוך מסמכים פיננסיים, גם אם פרטים אלו מובלעים או חבויים, כגון עלות עסקה. הם מסוגלים לחשב ברמת דיוק גבוהה ולפתור בעיות פיננסיות לא שגרתיות, והם יכולים לתאר את ההשלכות הצפויות של החלטות פיננסיות, תוך שהם מפגינים הבנה של נוף פיננסי רחב, כגון עלות מס הכנסה.",,,
Financial,4,550,"לתלמידים ברמת בקיאות 4 יש ידע והבנה של נושאים פיננסיים פחות שכיחים, ויכולים ליישם את הידע שלהם בהקשרים שילכו ויעשו רלוונטיים להם ככל שיתבגרו, כגון ניהול חשבון בנק או לקיחת הלוואה בריבית דריבית. הם יכולים להבין ולהעריך מגוון של מסמכים פיננסיים ברמת פירוט גבוהה, כגון דוחות עו""ש, ולהסביר את השימושים והתפקוד של מוצרים פיננסיים פחות נפוצים. הם יכולים לקבל החלטות פיננסיות תוך הבאה בחשבון של גורמים השלכות לטווח ארוך, כמו ההבנה של משמעות העלות הכוללת של הלוואה לתקופה ארוכה, והם מסוגלים לפתור בעיות שגרתיות בהקשרים פיננסיים פחות מוכרים.",,,
Financial,3,475,"תלמידים ברמת בקיאות 3 יכולים ליישם את הידע וההבנה שלהם על אודות מושגים, עקרונות ומוצרים פיננסיים נפוצים בהקשרים הרלוונטיים להם. הם מתחילים להבין את ההשלכות של החלטות פיננסיות והם יכולים לתכנן תוכניות פיננסיות פשוטות בהקשרים שמוכרים להם. הם יכולים להבין ולפרש מגוון של מסמכים פיננסיים ויכולים לבצע פעולות חשבוניות שונות, כולל חישוב אחוזים. הם מסוגלים לבחור את הפעולה החשבונית המתאימה כדי לפתור בעיות שגרתיות בהקשרים פיננסיים שכיחים יחסית, כמו חישוב תקציב.",,,,,,
Financial,2,400,"תלמידים ברמת בקיאות 2 מתחילים להשתמש בידע שלהם על אודות מושגים, עקרונות ומוצרים פיננסיים נפוצים. הם יכולים להשתמש במידע על מנת לקבל החלטות פיננסיות בהקשר רלוונטי עבורם. הם מכירים בחשיבות של ניהול תקציב פשוט ויכולים לפרש מאפיינים בולטים של מסמכים פיננסיים נפוצים. הם יכולים לבצע פעולה חשבונית בסיסית אחת, כולל חילוק, כדי לענות על בעיה פיננסית. הם מבינים את הקשר שבין רכיבים פיננסיים שונים, כמו הקשר שבין שימוש במוצר כלשהו והעלות שנובעת משימוש זה.",,,,,
Financial,1,326,"תלמידים ברמת בקיאות 1 יכולים לזהות מושגים ומוצרים פיננסיים נפוצים ולפרש מידע המתייחס לעקרונות פיננסיים בסיסיים. הם מבינים את ההבדל בין 'צרכים' ל-'רצונות' ויכולים לקבל החלטות פשוטות של הוצאות יומיומיות. הם יודעים למה נועדו מסמכים פיננסיים נפוצים כמו קבלות, ויכולים לבצע פעולה חשבונית בסיסית אחת (חיבור, חיסור או כפל) בהקשר פיננסי שבו התנסו בעבר.",,,,,,,
