ID,description,Gender,ESCS,Performers,Average
ST26Q15,Possessions - <Country item 1>,0,0,376001,23
ST26Q15,Possessions - <Country item 1>,0,0,376002,70
ST26Q15,Possessions - <Country item 1>,0,0,7777777,3
ST26Q15,Possessions - <Country item 1>,0,0,9999999,4
ST26Q16,Possessions - <Country item 2>,0,0,376001,28
ST26Q16,Possessions - <Country item 2>,0,0,376002,65
ST26Q16,Possessions - <Country item 2>,0,0,7777777,3
ST26Q16,Possessions - <Country item 2>,0,0,9999999,4
ST26Q17,Possessions - <Country item 3>,0,0,376001,34
ST26Q17,Possessions - <Country item 3>,0,0,376002,58
ST26Q17,Possessions - <Country item 3>,0,0,7777777,3
ST26Q17,Possessions - <Country item 3>,0,0,9999999,4
ST27Q01,How many - cellular phones,0,0,None,1
ST27Q01,How many - cellular phones,0,0,One,3
ST27Q01,How many - cellular phones,0,0,Two,7
ST27Q01,How many - cellular phones,0,0,Three or more,86
ST27Q01,How many - cellular phones,0,0,NA,3
ST27Q02,How many - televisions,0,0,None,11
ST27Q02,How many - televisions,0,0,One,13
ST27Q02,How many - televisions,0,0,Two,23
ST27Q02,How many - televisions,0,0,Three or more,48
ST27Q02,How many - televisions,0,0,NA,6
ST27Q03,How many - computers,0,0,None,4
ST27Q03,How many - computers,0,0,One,20
ST27Q03,How many - computers,0,0,Two,29
ST27Q03,How many - computers,0,0,Three or more,43
ST27Q03,How many - computers,0,0,NA,4
ST27Q04,How many - cars,0,0,None,11
ST27Q04,How many - cars,0,0,One,39
ST27Q04,How many - cars,0,0,Two,36
ST27Q04,How many - cars,0,0,Three or more,10
ST27Q04,How many - cars,0,0,NA,4
ST27Q05,How many - rooms bath or shower,0,0,NA,100
ST28Q01,How many books at home,0,0,0-10 books ,11
ST28Q01,How many books at home,0,0,11-25 books ,16
ST28Q01,How many books at home,0,0,26-100 books ,29
ST28Q01,How many books at home,0,0,101-200 books ,17
ST28Q01,How many books at home,0,0,201-500 books ,13
ST28Q01,How many books at home,0,0,More than 500 books,11
ST28Q01,How many books at home,0,0,NA,4
ST29Q01,Math Interest - Enjoy Reading,0,0,Strongly agree,8
ST29Q01,Math Interest - Enjoy Reading,0,0,Agree,20
ST29Q01,Math Interest - Enjoy Reading,0,0,Disagree,23
ST29Q01,Math Interest - Enjoy Reading,0,0,Strongly disagree,13
ST29Q01,Math Interest - Enjoy Reading,0,0,NA,36
ST29Q02,Instrumental Motivation - Worthwhile for Work,0,0,Strongly agree,28
ST29Q02,Instrumental Motivation - Worthwhile for Work,0,0,Agree,23
ST29Q02,Instrumental Motivation - Worthwhile for Work,0,0,Disagree,9
ST29Q02,Instrumental Motivation - Worthwhile for Work,0,0,Strongly disagree,3
ST29Q02,Instrumental Motivation - Worthwhile for Work,0,0,NA,36
ST29Q03,Math Interest - Look Forward to Lessons,0,0,Strongly agree,7
ST29Q03,Math Interest - Look Forward to Lessons,0,0,Agree,20
ST29Q03,Math Interest - Look Forward to Lessons,0,0,Disagree,24
ST29Q03,Math Interest - Look Forward to Lessons,0,0,Strongly disagree,12
ST29Q03,Math Interest - Look Forward to Lessons,0,0,NA,36
ST29Q04,Math Interest - Enjoy Maths,0,0,Strongly agree,9
ST29Q04,Math Interest - Enjoy Maths,0,0,Agree,17
ST29Q04,Math Interest - Enjoy Maths,0,0,Disagree,24
ST29Q04,Math Interest - Enjoy Maths,0,0,Strongly disagree,14
ST29Q04,Math Interest - Enjoy Maths,0,0,NA,36
ST29Q05,Instrumental Motivation - Worthwhile for Career Chances,0,0,Strongly agree,32
ST29Q05,Instrumental Motivation - Worthwhile for Career Chances,0,0,Agree,23
ST29Q05,Instrumental Motivation - Worthwhile for Career Chances,0,0,Disagree,6
ST29Q05,Instrumental Motivation - Worthwhile for Career Chances,0,0,Strongly disagree,3
ST29Q05,Instrumental Motivation - Worthwhile for Career Chances,0,0,NA,36
ST29Q06,Math Interest - Interested,0,0,Strongly agree,13
ST29Q06,Math Interest - Interested,0,0,Agree,24
ST29Q06,Math Interest - Interested,0,0,Disagree,18
ST29Q06,Math Interest - Interested,0,0,Strongly disagree,8
ST29Q06,Math Interest - Interested,0,0,NA,36
ST29Q07,Instrumental Motivation - Important for Future Study,0,0,Strongly agree,25
ST29Q07,Instrumental Motivation - Important for Future Study,0,0,Agree,22
ST29Q07,Instrumental Motivation - Important for Future Study,0,0,Disagree,12
ST29Q07,Instrumental Motivation - Important for Future Study,0,0,Strongly disagree,5
ST29Q07,Instrumental Motivation - Important for Future Study,0,0,NA,36
ST29Q08,Instrumental Motivation - Helps to Get a Job,0,0,Strongly agree,20
ST29Q08,Instrumental Motivation - Helps to Get a Job,0,0,Agree,25
ST29Q08,Instrumental Motivation - Helps to Get a Job,0,0,Disagree,14
ST29Q08,Instrumental Motivation - Helps to Get a Job,0,0,Strongly disagree,6
ST29Q08,Instrumental Motivation - Helps to Get a Job,0,0,NA,36
ST35Q01,Subjective Norms -Friends Do Well in Mathematics,0,0,Strongly agree,7
ST35Q01,Subjective Norms -Friends Do Well in Mathematics,0,0,Agree,36
ST35Q01,Subjective Norms -Friends Do Well in Mathematics,0,0,Disagree,19
ST35Q01,Subjective Norms -Friends Do Well in Mathematics,0,0,Strongly disagree,2
ST35Q01,Subjective Norms -Friends Do Well in Mathematics,0,0,NA,36
ST35Q02,Subjective Norms -Friends Work Hard on Mathematics,0,0,Strongly agree,13
ST35Q02,Subjective Norms -Friends Work Hard on Mathematics,0,0,Agree,35
ST35Q02,Subjective Norms -Friends Work Hard on Mathematics,0,0,Disagree,15
ST35Q02,Subjective Norms -Friends Work Hard on Mathematics,0,0,Strongly disagree,1
ST35Q02,Subjective Norms -Friends Work Hard on Mathematics,0,0,NA,36
ST35Q03,Subjective Norms - Friends Enjoy Mathematics Tests,0,0,Strongly agree,3
ST35Q03,Subjective Norms - Friends Enjoy Mathematics Tests,0,0,Agree,12
ST35Q03,Subjective Norms - Friends Enjoy Mathematics Tests,0,0,Disagree,33
ST35Q03,Subjective Norms - Friends Enjoy Mathematics Tests,0,0,Strongly disagree,16
ST35Q03,Subjective Norms - Friends Enjoy Mathematics Tests,0,0,NA,36
ST35Q04,Subjective Norms - Parents Believe Studying Mathematics Is Important,0,0,Strongly agree,39
ST35Q04,Subjective Norms - Parents Believe Studying Mathematics Is Important,0,0,Agree,21
ST35Q04,Subjective Norms - Parents Believe Studying Mathematics Is Important,0,0,Disagree,3
ST35Q04,Subjective Norms - Parents Believe Studying Mathematics Is Important,0,0,Strongly disagree,1
ST35Q04,Subjective Norms - Parents Believe Studying Mathematics Is Important,0,0,NA,37
ST35Q05,Subjective Norms - Parents Believe Mathematics Is Important for Career,0,0,Strongly agree,31
ST35Q05,Subjective Norms - Parents Believe Mathematics Is Important for Career,0,0,Agree,23
ST35Q05,Subjective Norms - Parents Believe Mathematics Is Important for Career,0,0,Disagree,8
ST35Q05,Subjective Norms - Parents Believe Mathematics Is Important for Career,0,0,Strongly disagree,1
ST35Q05,Subjective Norms - Parents Believe Mathematics Is Important for Career,0,0,NA,37
ST35Q06,Subjective Norms - Parents Like Mathematics,0,0,Strongly agree,11
ST35Q06,Subjective Norms - Parents Like Mathematics,0,0,Agree,29
ST35Q06,Subjective Norms - Parents Like Mathematics,0,0,Disagree,18
ST35Q06,Subjective Norms - Parents Like Mathematics,0,0,Strongly disagree,5
ST35Q06,Subjective Norms - Parents Like Mathematics,0,0,NA,37
ST37Q01,Math Self-Efficacy - Using a <Train Timetable>,0,0,Very confident,27
ST37Q01,Math Self-Efficacy - Using a <Train Timetable>,0,0,Confident,23
ST37Q01,Math Self-Efficacy - Using a <Train Timetable>,0,0,Not very confident,10
ST37Q01,Math Self-Efficacy - Using a <Train Timetable>,0,0,Not at all confident,3
ST37Q01,Math Self-Efficacy - Using a <Train Timetable>,0,0,NA,37
ST37Q02,Math Self-Efficacy - Calculating TV Discount,0,0,Very confident,27
ST37Q02,Math Self-Efficacy - Calculating TV Discount,0,0,Confident,21
ST37Q02,Math Self-Efficacy - Calculating TV Discount,0,0,Not very confident,11
ST37Q02,Math Self-Efficacy - Calculating TV Discount,0,0,Not at all confident,4
ST37Q02,Math Self-Efficacy - Calculating TV Discount,0,0,NA,37
ST37Q03,Math Self-Efficacy - Calculating Square Metres of Tiles,0,0,Very confident,21
ST37Q03,Math Self-Efficacy - Calculating Square Metres of Tiles,0,0,Confident,20
ST37Q03,Math Self-Efficacy - Calculating Square Metres of Tiles,0,0,Not very confident,17
ST37Q03,Math Self-Efficacy - Calculating Square Metres of Tiles,0,0,Not at all confident,6
ST37Q03,Math Self-Efficacy - Calculating Square Metres of Tiles,0,0,NA,37
ST37Q04,Math Self-Efficacy - Understanding Graphs in Newspapers,0,0,Very confident,30
ST37Q04,Math Self-Efficacy - Understanding Graphs in Newspapers,0,0,Confident,21
ST37Q04,Math Self-Efficacy - Understanding Graphs in Newspapers,0,0,Not very confident,9
ST37Q04,Math Self-Efficacy - Understanding Graphs in Newspapers,0,0,Not at all confident,3
ST37Q04,Math Self-Efficacy - Understanding Graphs in Newspapers,0,0,NA,37
ST37Q05,Math Self-Efficacy - Solving Equation 1,0,0,Very confident,47
ST37Q05,Math Self-Efficacy - Solving Equation 1,0,0,Confident,10
ST37Q05,Math Self-Efficacy - Solving Equation 1,0,0,Not very confident,4
ST37Q05,Math Self-Efficacy - Solving Equation 1,0,0,Not at all confident,2
ST37Q05,Math Self-Efficacy - Solving Equation 1,0,0,NA,37
ST37Q06,Math Self-Efficacy - Distance to Scale,0,0,Very confident,14
ST37Q06,Math Self-Efficacy - Distance to Scale,0,0,Confident,16
ST37Q06,Math Self-Efficacy - Distance to Scale,0,0,Not very confident,23
ST37Q06,Math Self-Efficacy - Distance to Scale,0,0,Not at all confident,10
ST37Q06,Math Self-Efficacy - Distance to Scale,0,0,NA,37
ST37Q07,Math Self-Efficacy - Solving Equation 2,0,0,Very confident,43
ST37Q07,Math Self-Efficacy - Solving Equation 2,0,0,Confident,13
ST37Q07,Math Self-Efficacy - Solving Equation 2,0,0,Not very confident,5
ST37Q07,Math Self-Efficacy - Solving Equation 2,0,0,Not at all confident,3
ST37Q07,Math Self-Efficacy - Solving Equation 2,0,0,NA,37
ST37Q08,Math Self-Efficacy - Calculate Petrol Consumption Rate,0,0,Very confident,17
ST37Q08,Math Self-Efficacy - Calculate Petrol Consumption Rate,0,0,Confident,20
ST37Q08,Math Self-Efficacy - Calculate Petrol Consumption Rate,0,0,Not very confident,19
ST37Q08,Math Self-Efficacy - Calculate Petrol Consumption Rate,0,0,Not at all confident,7
ST37Q08,Math Self-Efficacy - Calculate Petrol Consumption Rate,0,0,NA,37
ST42Q01,Math Anxiety - Worry That It Will Be Difficult,0,0,Strongly agree,15
ST42Q01,Math Anxiety - Worry That It Will Be Difficult,0,0,Agree,26
ST42Q01,Math Anxiety - Worry That It Will Be Difficult,0,0,Disagree,15
ST42Q01,Math Anxiety - Worry That It Will Be Difficult,0,0,Strongly disagree,5
ST42Q01,Math Anxiety - Worry That It Will Be Difficult,0,0,NA,37
ST42Q02,Math Self-Concept - Not Good at Maths,0,0,Strongly agree,6
ST42Q02,Math Self-Concept - Not Good at Maths,0,0,Agree,10
ST42Q02,Math Self-Concept - Not Good at Maths,0,0,Disagree,26
ST42Q02,Math Self-Concept - Not Good at Maths,0,0,Strongly disagree,20
ST42Q02,Math Self-Concept - Not Good at Maths,0,0,NA,37
ST42Q03,Math Anxiety - Get Very Tense,0,0,Strongly agree,6
ST42Q03,Math Anxiety - Get Very Tense,0,0,Agree,14
ST42Q03,Math Anxiety - Get Very Tense,0,0,Disagree,25
ST42Q03,Math Anxiety - Get Very Tense,0,0,Strongly disagree,18
ST42Q03,Math Anxiety - Get Very Tense,0,0,NA,38
ST42Q04,Math Self-Concept- Get Good <Grades>,0,0,Strongly agree,17
ST42Q04,Math Self-Concept- Get Good <Grades>,0,0,Agree,28
ST42Q04,Math Self-Concept- Get Good <Grades>,0,0,Disagree,14
ST42Q04,Math Self-Concept- Get Good <Grades>,0,0,Strongly disagree,4
ST42Q04,Math Self-Concept- Get Good <Grades>,0,0,NA,38
ST42Q05,Math Anxiety - Get Very Nervous,0,0,Strongly agree,7
ST42Q05,Math Anxiety - Get Very Nervous,0,0,Agree,15
ST42Q05,Math Anxiety - Get Very Nervous,0,0,Disagree,27
ST42Q05,Math Anxiety - Get Very Nervous,0,0,Strongly disagree,14
ST42Q05,Math Anxiety - Get Very Nervous,0,0,NA,38
ST42Q06,Math Self-Concept - Learn Quickly,0,0,Strongly agree,12
ST42Q06,Math Self-Concept - Learn Quickly,0,0,Agree,24
ST42Q06,Math Self-Concept - Learn Quickly,0,0,Disagree,19
ST42Q06,Math Self-Concept - Learn Quickly,0,0,Strongly disagree,7
ST42Q06,Math Self-Concept - Learn Quickly,0,0,NA,38
ST42Q07,Math Self-Concept - One of Best Subjects,0,0,Strongly agree,14
ST42Q07,Math Self-Concept - One of Best Subjects,0,0,Agree,17
ST42Q07,Math Self-Concept - One of Best Subjects,0,0,Disagree,19
ST42Q07,Math Self-Concept - One of Best Subjects,0,0,Strongly disagree,13
ST42Q07,Math Self-Concept - One of Best Subjects,0,0,NA,38
ST42Q08,Math Anxiety - Feel Helpless,0,0,Strongly agree,5
ST42Q08,Math Anxiety - Feel Helpless,0,0,Agree,10
ST42Q08,Math Anxiety - Feel Helpless,0,0,Disagree,26
ST42Q08,Math Anxiety - Feel Helpless,0,0,Strongly disagree,22
ST42Q08,Math Anxiety - Feel Helpless,0,0,NA,38
ST42Q09,Math Self-Concept - Understand Difficult Work,0,0,Strongly agree,10
ST42Q09,Math Self-Concept - Understand Difficult Work,0,0,Agree,22
ST42Q09,Math Self-Concept - Understand Difficult Work,0,0,Disagree,20
ST42Q09,Math Self-Concept - Understand Difficult Work,0,0,Strongly disagree,9
ST42Q09,Math Self-Concept - Understand Difficult Work,0,0,NA,38
ST42Q10,Math Anxiety - Worry About Getting Poor <Grades>,0,0,Strongly agree,15
ST42Q10,Math Anxiety - Worry About Getting Poor <Grades>,0,0,Agree,19
ST42Q10,Math Anxiety - Worry About Getting Poor <Grades>,0,0,Disagree,16
ST42Q10,Math Anxiety - Worry About Getting Poor <Grades>,0,0,Strongly disagree,13
ST42Q10,Math Anxiety - Worry About Getting Poor <Grades>,0,0,NA,37
ST43Q01,Perceived Control - Can Succeed with Enough Effort,0,0,Strongly agree,42
ST43Q01,Perceived Control - Can Succeed with Enough Effort,0,0,Agree,18
ST43Q01,Perceived Control - Can Succeed with Enough Effort,0,0,Disagree,2
ST43Q01,Perceived Control - Can Succeed with Enough Effort,0,0,Strongly disagree,1
ST43Q01,Perceived Control - Can Succeed with Enough Effort,0,0,NA,37
ST43Q02,Perceived Control - Doing Well is Completely Up to Me,0,0,Strongly agree,29
ST43Q02,Perceived Control - Doing Well is Completely Up to Me,0,0,Agree,20
ST43Q02,Perceived Control - Doing Well is Completely Up to Me,0,0,Disagree,11
ST43Q02,Perceived Control - Doing Well is Completely Up to Me,0,0,Strongly disagree,2
ST43Q02,Perceived Control - Doing Well is Completely Up to Me,0,0,NA,37
ST43Q03,Perceived Control - Family Demands and Problems,0,0,Strongly agree,5
ST43Q03,Perceived Control - Family Demands and Problems,0,0,Agree,15
ST43Q03,Perceived Control - Family Demands and Problems,0,0,Disagree,23
ST43Q03,Perceived Control - Family Demands and Problems,0,0,Strongly disagree,19
ST43Q03,Perceived Control - Family Demands and Problems,0,0,NA,37
ST43Q04,Perceived Control - Different Teachers,0,0,Strongly agree,10
ST43Q04,Perceived Control - Different Teachers,0,0,Agree,14
ST43Q04,Perceived Control - Different Teachers,0,0,Disagree,23
ST43Q04,Perceived Control - Different Teachers,0,0,Strongly disagree,17
ST43Q04,Perceived Control - Different Teachers,0,0,NA,37
ST43Q05,Perceived Control - If I Wanted I Could Perform Well,0,0,Strongly agree,31
ST43Q05,Perceived Control - If I Wanted I Could Perform Well,0,0,Agree,23
ST43Q05,Perceived Control - If I Wanted I Could Perform Well,0,0,Disagree,6
ST43Q05,Perceived Control - If I Wanted I Could Perform Well,0,0,Strongly disagree,2
ST43Q05,Perceived Control - If I Wanted I Could Perform Well,0,0,NA,37
ST43Q06,Perceived Control - Perform Poorly Regardless,0,0,Strongly agree,4
ST43Q06,Perceived Control - Perform Poorly Regardless,0,0,Agree,7
ST43Q06,Perceived Control - Perform Poorly Regardless,0,0,Disagree,19
ST43Q06,Perceived Control - Perform Poorly Regardless,0,0,Strongly disagree,32
ST43Q06,Perceived Control - Perform Poorly Regardless,0,0,NA,37
ST44Q01,Attributions to Failure - Not Good at Maths Problems,0,0,Very   Likely,8
ST44Q01,Attributions to Failure - Not Good at Maths Problems,0,0,Likely,24
ST44Q01,Attributions to Failure - Not Good at Maths Problems,0,0,Slightly likely,19
ST44Q01,Attributions to Failure - Not Good at Maths Problems,0,0,Not at all likely,12
ST44Q01,Attributions to Failure - Not Good at Maths Problems,0,0,NA,37
ST44Q03,Attributions to Failure - Teacher Did Not Explain Well,0,0,Very   Likely,10
ST44Q03,Attributions to Failure - Teacher Did Not Explain Well,0,0,Likely,23
ST44Q03,Attributions to Failure - Teacher Did Not Explain Well,0,0,Slightly likely,18
ST44Q03,Attributions to Failure - Teacher Did Not Explain Well,0,0,Not at all likely,12
ST44Q03,Attributions to Failure - Teacher Did Not Explain Well,0,0,NA,37
ST44Q04,Attributions to Failure - Bad Guesses,0,0,Very   Likely,14
ST44Q04,Attributions to Failure - Bad Guesses,0,0,Likely,26
ST44Q04,Attributions to Failure - Bad Guesses,0,0,Slightly likely,14
ST44Q04,Attributions to Failure - Bad Guesses,0,0,Not at all likely,10
ST44Q04,Attributions to Failure - Bad Guesses,0,0,NA,37
ST44Q05,Attributions to Failure - Material Too Hard,0,0,Very   Likely,20
ST44Q05,Attributions to Failure - Material Too Hard,0,0,Likely,26
ST44Q05,Attributions to Failure - Material Too Hard,0,0,Slightly likely,12
ST44Q05,Attributions to Failure - Material Too Hard,0,0,Not at all likely,5
ST44Q05,Attributions to Failure - Material Too Hard,0,0,NA,37
ST44Q07,Attributions to Failure - Teacher Didnt Get Students Interested,0,0,Very   Likely,13
ST44Q07,Attributions to Failure - Teacher Didnt Get Students Interested,0,0,Likely,20
ST44Q07,Attributions to Failure - Teacher Didnt Get Students Interested,0,0,Slightly likely,17
ST44Q07,Attributions to Failure - Teacher Didnt Get Students Interested,0,0,Not at all likely,12
ST44Q07,Attributions to Failure - Teacher Didnt Get Students Interested,0,0,NA,37
ST44Q08,Attributions to Failure - Unlucky,0,0,Very   Likely,9
ST44Q08,Attributions to Failure - Unlucky,0,0,Likely,17
ST44Q08,Attributions to Failure - Unlucky,0,0,Slightly likely,17
ST44Q08,Attributions to Failure - Unlucky,0,0,Not at all likely,19
ST44Q08,Attributions to Failure - Unlucky,0,0,NA,37
ST46Q01,Math Work Ethic - Homework Completed in Time,0,0,Strongly agree,15
ST46Q01,Math Work Ethic - Homework Completed in Time,0,0,Agree,28
ST46Q01,Math Work Ethic - Homework Completed in Time,0,0,Disagree,16
ST46Q01,Math Work Ethic - Homework Completed in Time,0,0,Strongly disagree,4
ST46Q01,Math Work Ethic - Homework Completed in Time,0,0,NA,37
ST46Q02,Math Work Ethic - Work Hard on Homework,0,0,Strongly agree,13
ST46Q02,Math Work Ethic - Work Hard on Homework,0,0,Agree,25
ST46Q02,Math Work Ethic - Work Hard on Homework,0,0,Disagree,19
ST46Q02,Math Work Ethic - Work Hard on Homework,0,0,Strongly disagree,6
ST46Q02,Math Work Ethic - Work Hard on Homework,0,0,NA,37
ST46Q03,Math Work Ethic - Prepared for Exams,0,0,Strongly agree,19
ST46Q03,Math Work Ethic - Prepared for Exams,0,0,Agree,29
ST46Q03,Math Work Ethic - Prepared for Exams,0,0,Disagree,12
ST46Q03,Math Work Ethic - Prepared for Exams,0,0,Strongly disagree,3
ST46Q03,Math Work Ethic - Prepared for Exams,0,0,NA,37
ST46Q04,Math Work Ethic - Study Hard for Quizzes,0,0,Strongly agree,18
ST46Q04,Math Work Ethic - Study Hard for Quizzes,0,0,Agree,23
ST46Q04,Math Work Ethic - Study Hard for Quizzes,0,0,Disagree,17
ST46Q04,Math Work Ethic - Study Hard for Quizzes,0,0,Strongly disagree,5
ST46Q04,Math Work Ethic - Study Hard for Quizzes,0,0,NA,37
ST46Q05,Math Work Ethic - Study Until I Understand Everything,0,0,Strongly agree,21
ST46Q05,Math Work Ethic - Study Until I Understand Everything,0,0,Agree,28
ST46Q05,Math Work Ethic - Study Until I Understand Everything,0,0,Disagree,11
ST46Q05,Math Work Ethic - Study Until I Understand Everything,0,0,Strongly disagree,3
ST46Q05,Math Work Ethic - Study Until I Understand Everything,0,0,NA,37
ST46Q06,Math Work Ethic - Pay Attention in Classes,0,0,Strongly agree,21
ST46Q06,Math Work Ethic - Pay Attention in Classes,0,0,Agree,30
ST46Q06,Math Work Ethic - Pay Attention in Classes,0,0,Disagree,9
ST46Q06,Math Work Ethic - Pay Attention in Classes,0,0,Strongly disagree,2
ST46Q06,Math Work Ethic - Pay Attention in Classes,0,0,NA,37
ST46Q07,Math Work Ethic - Listen in Classes,0,0,Strongly agree,22
ST46Q07,Math Work Ethic - Listen in Classes,0,0,Agree,30
ST46Q07,Math Work Ethic - Listen in Classes,0,0,Disagree,8
ST46Q07,Math Work Ethic - Listen in Classes,0,0,Strongly disagree,2
ST46Q07,Math Work Ethic - Listen in Classes,0,0,NA,38
ST46Q08,Math Work Ethic - Avoid Distractions When Studying,0,0,Strongly agree,14
ST46Q08,Math Work Ethic - Avoid Distractions When Studying,0,0,Agree,26
ST46Q08,Math Work Ethic - Avoid Distractions When Studying,0,0,Disagree,18
ST46Q08,Math Work Ethic - Avoid Distractions When Studying,0,0,Strongly disagree,4
ST46Q08,Math Work Ethic - Avoid Distractions When Studying,0,0,NA,38
ST46Q09,Math Work Ethic - Keep Work Organized,0,0,Strongly agree,24
ST46Q09,Math Work Ethic - Keep Work Organized,0,0,Agree,26
ST46Q09,Math Work Ethic - Keep Work Organized,0,0,Disagree,10
ST46Q09,Math Work Ethic - Keep Work Organized,0,0,Strongly disagree,3
ST46Q09,Math Work Ethic - Keep Work Organized,0,0,NA,37
ST48Q01,Math Intentions - Mathematics vs. Language Courses After School,0,0,Courses after school Math,38
ST48Q01,Math Intentions - Mathematics vs. Language Courses After School,0,0,Courses after school Test Language,19
ST48Q01,Math Intentions - Mathematics vs. Language Courses After School,0,0,NA,43
ST48Q02,Math Intentions - Mathematics vs. Science Related Major in College,0,0,Major in college Math,28
ST48Q02,Math Intentions - Mathematics vs. Science Related Major in College,0,0,Major in college Science,28
ST48Q02,Math Intentions - Mathematics vs. Science Related Major in College,0,0,NA,44
ST48Q03,Math Intentions - Study Harder in Mathematics vs. Language Classes,0,0,Study harder Math,43
ST48Q03,Math Intentions - Study Harder in Mathematics vs. Language Classes,0,0,Study harder Test Language,15
ST48Q03,Math Intentions - Study Harder in Mathematics vs. Language Classes,0,0,NA,41
ST48Q04,Math Intentions - Take Maximum Number of Mathematics vs. Science Classes,0,0,NA,100
ST48Q05,Math Intentions - Pursuing a Career That Involves Mathematics vs. Science,0,0,Pursuing a career Math,29
ST48Q05,Math Intentions - Pursuing a Career That Involves Mathematics vs. Science,0,0,Pursuing a career Science,26
ST48Q05,Math Intentions - Pursuing a Career That Involves Mathematics vs. Science,0,0,NA,45
ST49Q01,Math Behaviour - Talk about Maths with Friends,0,0,Always or almost always,6
ST49Q01,Math Behaviour - Talk about Maths with Friends,0,0,Often,16
ST49Q01,Math Behaviour - Talk about Maths with Friends,0,0,Sometimes,25
ST49Q01,Math Behaviour - Talk about Maths with Friends,0,0,Never or rarely,15
ST49Q01,Math Behaviour - Talk about Maths with Friends,0,0,NA,37
ST49Q02,Math Behaviour - Help Friends with Maths,0,0,Always or almost always,7
ST49Q02,Math Behaviour - Help Friends with Maths,0,0,Often,20
ST49Q02,Math Behaviour - Help Friends with Maths,0,0,Sometimes,25
ST49Q02,Math Behaviour - Help Friends with Maths,0,0,Never or rarely,10
ST49Q02,Math Behaviour - Help Friends with Maths,0,0,NA,38
ST49Q03,Math Behaviour - <Extracurricular> Activity,0,0,Always or almost always,5
ST49Q03,Math Behaviour - <Extracurricular> Activity,0,0,Often,8
ST49Q03,Math Behaviour - <Extracurricular> Activity,0,0,Sometimes,13
ST49Q03,Math Behaviour - <Extracurricular> Activity,0,0,Never or rarely,37
ST49Q03,Math Behaviour - <Extracurricular> Activity,0,0,NA,38
ST49Q04,Math Behaviour - Participate in Competitions,0,0,Always or almost always,2
ST49Q04,Math Behaviour - Participate in Competitions,0,0,Often,4
ST49Q04,Math Behaviour - Participate in Competitions,0,0,Sometimes,7
ST49Q04,Math Behaviour - Participate in Competitions,0,0,Never or rarely,49
ST49Q04,Math Behaviour - Participate in Competitions,0,0,NA,38
ST49Q05,Math Behaviour - Study More Than 2 Extra Hours a Day,0,0,Always or almost always,5
ST49Q05,Math Behaviour - Study More Than 2 Extra Hours a Day,0,0,Often,8
ST49Q05,Math Behaviour - Study More Than 2 Extra Hours a Day,0,0,Sometimes,19
ST49Q05,Math Behaviour - Study More Than 2 Extra Hours a Day,0,0,Never or rarely,31
ST49Q05,Math Behaviour - Study More Than 2 Extra Hours a Day,0,0,NA,38
ST49Q06,Math Behaviour - Play Chess,0,0,Always or almost always,3
ST49Q06,Math Behaviour - Play Chess,0,0,Often,6
ST49Q06,Math Behaviour - Play Chess,0,0,Sometimes,11
ST49Q06,Math Behaviour - Play Chess,0,0,Never or rarely,42
ST49Q06,Math Behaviour - Play Chess,0,0,NA,38
ST49Q07,Math Behaviour - Computer programming,0,0,Always or almost always,6
ST49Q07,Math Behaviour - Computer programming,0,0,Often,8
